country,total_pop,pop_under_15,pop_over_60,life_expec,urban_pop,fecundity_rate
Argentina,44688.858,24.68738852,11.3392515,76.9,91.8678,2.261
Belice,382.445,30.88940894,3.912196525,70.791,45.7774,2.443
Bolivia,11215.667,31.26168065,6.836347762,69.807,69.431,2.802
Brasil,210867.959,21.36247451,8.873226681,75.934,86.5518,1.698
Chile,18197.213,20.10113856,11.45319341,79.942,87.5802,1.758
Colombia,49464.687,23.06611583,7.976848211,74.742,80.7606,1.815
CostaRica,4953.201,21.39749629,9.754015636,80.228,79.2074,1.754
Cuba,11489.084,15.88925627,15.214407,80.102,77.0748,1.721
DominicanRepublic,10882.994,28.95110482,7.164057979,74.232,80.9504,2.364
Ecuador,16863.427,28.17006294,7.33795094,76.773,63.8588,2.431
ElSalvador,6411.557,27.06116471,8.451566445,73.985,71.9464,2.039
FrenchGuayana,289.774,32.78624031,5.488760206,80.381,85.2848,3.246
Guadalupe,449.173,18.18876023,18.00286304,81.8,98.4766,1.915
Guatemala,17245.343,34.43390485,4.808915659,73.892,51.09,2.869
Haití,11112.942,32.62279242,4.896147213,63.84,55.2236,2.819
Honduras,9417.165,31.01933544,4.787311256,73.97,57.0814,2.387
Martinica,385.066,17.62035599,19.35200719,82.431,89.0764,1.875
México,130759.07,26.25217126,7.077639815,77.492,80.1526,2.123
Nicaragua,6284.763,28.59172255,5.671351489,75.897,58.5652,2.143
Panamá,4162.607,27.12588529,8.118974479,78.388,67.7268,2.46
Paraguay,6896.916,29.13645751,6.566239171,73.302,61.6098,2.428
Perú,32551.811,27.09611149,7.334424496,75.454,77.921,2.342
PuertoRico,3659.001,17.64025208,15.4681838,80.329,93.5982,1.461
Uruguay,3469.551,20.89904429,14.7646194,77.798,95.327,1.973
Venezuela ,32381.223,27.29132251,6.80493754,74.907,88.229,2.271
